# Learn Darija — Voice Recording Checklist

Every word below has a 🔊 Listen button somewhere on the site. Record yourself
saying it, save it at the exact path shown, and the site plays your voice instead
of the text-to-speech placeholder — automatically, no code changes needed.

**All recordings go in one flat folder** named `audio`, next to your other site
files. If a word is used in more than one lesson, record it once.

---

| ☐ | Darija (say it) | English | Used in | Save as |
|---|---|---|---|---|
| ☐ | 3achra (3ash-ra) | Ten | Numbers | `audio/3achra.mp3` |
| ☐ | 3afak (3a-fak) | Please | Common Everyday Expressions | `audio/3afak.mp3` |
| ☐ | 3ammi (3am-mee) | My paternal uncle | Family | `audio/3ammi.mp3` |
| ☐ | 3ammti (3am-tee) | My paternal aunt | Family | `audio/3ammti.mp3` |
| ☐ | 3assir (3as-seer) | Juice | Food and Drinks | `audio/3assir.mp3` |
| ☐ | 3awed 3afak (3a-wed 3a-fak) | Say it again please | Asking Someone's Name | `audio/3awed-3afak.mp3` |
| ☐ | 3awenni (3a-wen-nee) | Help me | Problems and Emergencies | `audio/3awenni.mp3` |
| ☐ | 3ayan / 3ayana (3a-yan / 3a-ya-na) | Tired (m. / f.) | How Are You? | `audio/3ayan-3ayana.mp3` |
| ☐ | 3azeb (3a-zeb) | Single (m. / f.) | Talking About Family | `audio/3azeb.mp3` |
| ☐ | 3jebni (3jeb-nee) | I like it | Expressing Opinions | `audio/3jebni.mp3` |
| ☐ | 3lach (3-lach) | Why? | How to Read Darija, Basic Questions | `audio/3lach.mp3` |
| ☐ | 7bibi (7-bi-bi) | My dear / my love | How to Read Darija | `audio/7bibi.mp3` |
| ☐ | Ajnabi (aj-na-bee) | Foreigner (m. / f.) | Where Are You From? | `audio/ajnabi.mp3` |
| ☐ | Akhir taman (a-kheer ta-man) | Final price | At the Market | `audio/akhir-taman.mp3` |
| ☐ | Ana (a-na) | I | Verbs in Darija: The Basics | `audio/ana.mp3` |
| ☐ | Ana ghir kanshuf (a-na gheer kan-shoof) | I'm just looking | At the Market | `audio/ana-ghir-kanshuf.mp3` |
| ☐ | Ana mn... (a-na mn) | I am from... | Introducing Yourself, Where Are You From? | `audio/ana-mn.mp3` |
| ☐ | Ana mrid (a-na mreed) | I'm sick (m. / f.) | Problems and Emergencies | `audio/ana-mrid.mp3` |
| ☐ | Ash kadir? (ash ka-deer) | What are you doing? | Talking About the Present | `audio/ash-kadir.mp3` |
| ☐ | Ash? (ash) | What? | Basic Questions | `audio/ash.mp3` |
| ☐ | Atay (a-tay) | Mint tea | Food and Drinks | `audio/atay.mp3` |
| ☐ | Ay ay (eye eye) | Yeah yeah (filler agreement) | Real Moroccan Conversations | `audio/ay-ay.mp3` |
| ☐ | B3id (b3eed) | Far | Asking for Directions | `audio/b3id.mp3` |
| ☐ | Baba (ba-ba) | Father / dad | Family | `audio/baba.mp3` |
| ☐ | Bagaj (ba-gazh) | Luggage | Travel | `audio/bagaj.mp3` |
| ☐ | Bax katnsahni? (bakh kat-nsah-nee) | What do you recommend? | At a Restaurant | `audio/bax-katnsahni.mp3` |
| ☐ | Bekri (bek-ree) | Early | Daily Activities | `audio/bekri.mp3` |
| ☐ | Bhal hakka (b-hal ha-ka) | Like this / so | Real Moroccan Conversations | `audio/bhal-hakka.mp3` |
| ☐ | Bikhir (bee-kheer) | Well / fine | How Are You? | `audio/bikhir.mp3` |
| ☐ | Bit (beet) | Room | At Home | `audio/bit.mp3` |
| ☐ | Blad (blad) | Country | Where Are You From? | `audio/blad.mp3` |
| ☐ | Blasa (bla-sa) | Seat / place | At a Café | `audio/blasa.mp3` |
| ☐ | Bnti (bn-tee) | My daughter | Family | `audio/bnti.mp3` |
| ☐ | Bref (bref) | Anyway / in short | Real Moroccan Conversations | `audio/bref.mp3` |
| ☐ | Bsa7a (b-sah-ha) | Enjoy / cheers (said after eating, a haircut, etc.) | Common Everyday Expressions | `audio/bsa7a.mp3` |
| ☐ | Bsahtek (b-sah-tek) | Enjoy your meal (lit. to your health) | At a Restaurant | `audio/bsahtek.mp3` |
| ☐ | Bslama (b-sla-ma) | Goodbye | Greetings | `audio/bslama.mp3` |
| ☐ | Bulisse (boo-lees) | Police | Problems and Emergencies | `audio/bulisse.mp3` |
| ☐ | bzaf (bzaf) | A lot / very much | How to Read Darija | `audio/bzaf.mp3` |
| ☐ | Chno smitek? (chno smee-tek) | What's your name? | Introducing Yourself | `audio/chno-smitek.mp3` |
| ☐ | Daba (da-ba) | Now | Days and Time | `audio/daba.mp3` |
| ☐ | Damana (da-ma-na) | Warranty | Shopping Conversations | `audio/damana.mp3` |
| ☐ | Dar (dar) | House / home | At Home | `audio/dar.mp3` |
| ☐ | Ddini l... (d-dee-nee l) | Take me to... | Taking a Taxi | `audio/ddini-l.mp3` |
| ☐ | Dkhul (d-khool) | Come in | At Home | `audio/dkhul.mp3` |
| ☐ | Fatura (fa-too-ra) | Receipt | Shopping Conversations | `audio/fatura.mp3` |
| ☐ | Fe9t bekri (fe9t bek-ree) | I woke up early | Talking About Your Day | `audio/fe9t-bekri.mp3` |
| ☐ | Fin ghadi netla9aw? (feen gha-dee net-la-9aw) | Where will we meet? | Making Plans | `audio/fin-ghadi-netla9aw.mp3` |
| ☐ | Fin kayn...? (feen kayn) | Where is...? | Asking for Directions | `audio/fin-kayn.mp3` |
| ☐ | Fin? (feen) | Where? | Basic Questions | `audio/fin.mp3` |
| ☐ | Flous (floos) | Money | Shopping | `audio/flous.mp3` |
| ☐ | Fruta (froo-ta) | Fruit / dessert | Food and Drinks | `audio/fruta.mp3` |
| ☐ | Fuqash? (foo-9ash) | When? | Basic Questions | `audio/fuqash.mp3` |
| ☐ | Garso (gar-so) | Waiter | At a Café | `audio/garso.mp3` |
| ☐ | Ghadi nemshi (gha-dee ne-mshi) | I will go | Talking About the Future | `audio/ghadi-nemshi.mp3` |
| ☐ | Ghadi netla9aw (gha-dee net-la-9aw) | We will meet up | Making Plans | `audio/ghadi-netla9aw.mp3` |
| ☐ | Ghadi nkteb (gha-dee n-kteb) | I will write | Talking About the Future | `audio/ghadi-nkteb.mp3` |
| ☐ | Ghadi tji? (gha-dee tzhee) | Will you come? | Talking About the Future | `audio/ghadi-tji.mp3` |
| ☐ | Ghadi ykun (gha-dee y-koon) | It will be / he will be | Talking About the Future | `audio/ghadi-ykun.mp3` |
| ☐ | Ghda (gh-da) | Tomorrow | Days and Time | `audio/ghda.mp3` |
| ☐ | Hada (ha-da) | This is (masc., introducing someone) | Asking Someone's Name | `audio/hada.mp3` |
| ☐ | Hadi (ha-dee) | This is (fem., introducing someone) | Asking Someone's Name | `audio/hadi.mp3` |
| ☐ | Hafila (ha-fee-la) | Bus / coach | Travel | `audio/hafila.mp3` |
| ☐ | Halwa (hal-wa) | Dessert / sweets | At a Restaurant | `audio/halwa.mp3` |
| ☐ | Hamdullah (ham-doo-lah) | Thank God | More Natural Moroccan Expressions | `audio/hamdullah.mp3` |
| ☐ | Hanut (ha-noot) | Shop / small store | Shopping | `audio/hanut.mp3` |
| ☐ | Har (har) | Spicy | At a Restaurant | `audio/har.mp3` |
| ☐ | Hda (hda) | Next to | Asking for Directions | `audio/hda.mp3` |
| ☐ | Hiya (hi-ya) | She | Verbs in Darija: The Basics | `audio/hiya.mp3` |
| ☐ | Hlib (hleeb) | Milk | Food and Drinks | `audio/hlib.mp3` |
| ☐ | Hna (hna) | We | Verbs in Darija: The Basics | `audio/hna.mp3` |
